,CreationDate,item_ID,Mes,Cnt,Vol,Stock,ExecDate
0,2021-11-18,249.022.000267,шт,164,8e-06,М,2022-02-02
1,2021-11-18,249.022.000251,шт,50,4e-05,М,2022-02-02
2,2021-08-27,161.346.000100,шт,50,0.02204,М,2022-01-29
3,2021-08-27,161.346.000099,шт,50,0.02204,М,2022-01-29
4,2021-08-27,181.022.000001,шт,100,0.00874,М,2022-01-29
5,2021-08-27,181.346.000357,шт,200,0.000952,М,2022-01-29
6,2021-08-27,239.022.000060,м,5000,0.000159072749,М,2022-01-29
7,2021-08-27,181.022.000008,шт,5000,3e-05,М,2022-01-29
8,2021-08-27,241.022.000112,шт,100,0.016428,М,2022-01-29
9,2021-08-27,244.022.000030,шт,100,0.0136675,М,2022-01-29
10,2021-08-27,157.346.000142,шт,100,0.216,М,2022-01-29
11,2021-09-29,161.346.000100,шт,3,0.02204,СЗ,2021-12-21
12,2021-09-29,161.346.000099,шт,3,0.02204,СЗ,2021-12-21
13,2021-09-29,157.346.000097,шт,6,0.0552,СЗ,2021-12-21
14,2021-09-29,160.346.000040,шт,8,0.0432,СЗ,2021-12-21
15,2021-09-29,160.346.000041,шт,4,0.035264,СЗ,2021-12-21
16,2021-09-29,181.022.000004,шт,8,0.00874,СЗ,2021-12-21
17,2021-09-29,161.346.000112,шт,1,0.050625,СЗ,2021-12-21
18,2021-09-29,161.346.000111,шт,1,0.050625,СЗ,2021-12-21
19,2021-09-29,161.346.000114,шт,1,0.011803,СЗ,2021-12-21
20,2021-09-29,161.346.000113,шт,1,0.011088,СЗ,2021-12-21
21,2021-09-29,161.346.000136,шт,2,0.071331,СЗ,2021-12-21
22,2021-09-29,161.346.000137,шт,2,0.071331,СЗ,2021-12-21
23,2021-09-29,161.346.000126,шт,2,0.012432,СЗ,2021-12-21
24,2021-09-29,161.346.000127,шт,2,0.012432,СЗ,2021-12-21
25,2021-09-29,157.346.000104,шт,5,0.19355,СЗ,2021-12-21
26,2021-09-29,157.346.000138,шт,3,0.737495,СЗ,2021-12-21
27,2021-09-29,157.346.000121,шт,4,0.19355,СЗ,2021-12-21
28,2021-09-29,238.022.000060,м,600,0.000199174,СЗ,2021-12-21
29,2021-09-29,249.022.000011,шт,6,5.6e-05,СЗ,2021-12-21
30,2021-09-29,181.346.000357,шт,12,0.000952,СЗ,2021-12-21
31,2021-09-29,239.022.000060,м,300,0.000159072749,СЗ,2021-12-21
32,2021-09-29,181.022.000001,шт,8,0.00874,СЗ,2021-12-21
33,2021-09-29,244.022.000029,шт,6,0.01156,СЗ,2021-12-21
34,2021-09-29,160.346.000041,шт,2,0.035264,СЗ,2021-12-21
35,2021-09-29,181.022.000004,шт,4,0.00874,СЗ,2021-12-21
36,2021-09-29,160.346.000038,шт,2,0.0063,СЗ,2021-12-21
37,2021-09-29,189.022.001665,шт,4,0.000448,СЗ,2021-12-21
38,2021-09-29,204.346.000115,шт,8,0.009375,СЗ,2021-12-21
39,2021-09-29,189.022.001652,шт,2,4.48e-06,СЗ,2021-12-21
40,2021-09-29,161.346.000128,шт,1,0.021888,СЗ,2021-12-21
41,2021-09-29,161.346.000129,шт,1,0.021888,СЗ,2021-12-21
42,2021-09-29,157.346.000126,шт,2,1.98,СЗ,2021-12-21
43,2021-09-29,238.022.000060,м,300,0.000199174,СЗ,2021-12-21
44,2021-09-29,161.346.000100,шт,4,0.02204,СЗ,2021-12-21
45,2021-09-29,161.346.000099,шт,4,0.02204,СЗ,2021-12-21
46,2021-09-29,157.346.000097,шт,8,0.0552,СЗ,2021-12-21
47,2021-09-29,249.022.000011,шт,8,5.6e-05,СЗ,2021-12-21
48,2021-09-29,181.346.000357,шт,16,0.000952,СЗ,2021-12-21
49,2021-09-29,239.022.000060,м,400,0.000159072749,СЗ,2021-12-21
50,2021-09-29,181.022.000001,шт,10,0.00874,СЗ,2021-12-21
51,2021-09-29,244.022.000029,шт,8,0.01156,СЗ,2021-12-21
52,2021-09-29,244.022.000030,шт,8,0.0136675,СЗ,2021-12-21
53,2021-09-29,160.346.000040,шт,2,0.0432,СЗ,2021-12-21
54,2021-09-29,161.346.000126,шт,1,0.012432,СЗ,2021-12-21
55,2021-09-29,161.346.000127,шт,1,0.012432,СЗ,2021-12-21
56,2021-09-29,157.346.000104,шт,2,0.19355,СЗ,2021-12-21
57,2021-09-29,238.022.000060,м,100,0.000199174,СЗ,2021-12-21
58,2021-09-29,160.346.000040,шт,2,0.0432,СЗ,2021-12-21
59,2021-09-29,160.346.000041,шт,8,0.035264,СЗ,2021-12-21
60,2021-09-29,181.022.000004,шт,16,0.00874,СЗ,2021-12-21
61,2021-09-29,160.346.000038,шт,4,0.0063,СЗ,2021-12-21
62,2021-09-29,189.022.001665,шт,4,0.000448,СЗ,2021-12-21
63,2021-09-29,204.346.000115,шт,8,0.009375,СЗ,2021-12-21
64,2021-09-29,189.022.001652,шт,2,4.48e-06,СЗ,2021-12-21
65,2021-09-29,161.346.000144,шт,1,0.045740625,СЗ,2021-12-21
66,2021-09-29,161.346.000145,шт,1,0.045740625,СЗ,2021-12-21
67,2021-09-29,161.346.000128,шт,4,0.021888,СЗ,2021-12-21
68,2021-09-29,161.346.000129,шт,4,0.021888,СЗ,2021-12-21
69,2021-09-29,161.346.000126,шт,1,0.012432,СЗ,2021-12-21
70,2021-09-29,161.346.000127,шт,1,0.012432,СЗ,2021-12-21
71,2021-09-29,157.346.000100,шт,2,0.1811865,СЗ,2021-12-21
72,2021-09-29,157.346.000120,шт,8,0.8512,СЗ,2021-12-21
73,2021-09-29,157.346.000104,шт,2,0.19355,СЗ,2021-12-21
74,2021-09-29,238.022.000060,м,1500,0.000199174,СЗ,2021-12-21
75,2021-09-29,160.346.000040,шт,2,0.0432,СЗ,2021-12-21
76,2021-09-29,161.346.000119,шт,1,0.028,СЗ,2021-12-21
77,2021-09-29,161.346.000120,шт,1,0.028,СЗ,2021-12-21
78,2021-09-29,157.346.000140,шт,2,0.81282,СЗ,2021-12-21
79,2021-09-29,238.022.000060,м,100,0.000199174,СЗ,2021-12-21
80,2021-09-29,161.346.000100,шт,7,0.02204,СЗ,2021-12-21
81,2021-09-29,161.346.000099,шт,7,0.02204,СЗ,2021-12-21
82,2021-09-29,157.346.000097,шт,10,0.0552,СЗ,2021-12-21
83,2021-09-29,157.346.000098,шт,4,0.196,СЗ,2021-12-21
84,2021-09-29,160.346.000040,шт,1,0.0432,СЗ,2021-12-21
85,2021-09-29,160.346.000041,шт,12,0.035264,СЗ,2021-12-21
86,2021-09-29,160.346.000043,шт,5,0.0552,СЗ,2021-12-21
87,2021-09-29,181.022.000004,шт,32,0.00874,СЗ,2021-12-21
88,2021-09-29,181.022.000007,шт,4,0.02268,СЗ,2021-12-21
89,2021-09-29,181.022.000003,шт,2,0.041548,СЗ,2021-12-21
90,2021-09-29,181.022.000010,шт,4,,СЗ,2021-12-21
91,2021-09-29,181.022.000011,шт,4,,СЗ,2021-12-21
