,CreationDate,ExecDate,Date,Stock,item_ID,Cnt,difference
17,2021-12-03,2021-12-14,2021-12-27,У,213.346.000834,25000.0,13 days
108,2021-11-09,2022-02-16,2021-12-14,СЗ,249.346.000172,1.0,-64 days
109,2021-12-02,2022-11-03,2021-12-14,СЗ,249.346.000172,1.0,-324 days
110,2021-12-02,2022-11-03,2021-12-14,СЗ,249.346.000172,1.0,-324 days
133,2021-11-25,2022-05-30,2021-12-14,СЗ,249.346.000172,2.0,-167 days
134,2021-11-25,2022-05-30,2021-12-14,СЗ,249.346.000172,2.0,-167 days
135,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160 days
136,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160 days
137,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160 days
138,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160 days
211,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57 days
212,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57 days
213,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57 days
214,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57 days
233,2021-11-09,2022-02-16,2021-12-14,СЗ,241.372.000219,16.0,-64 days
234,2021-11-30,2022-04-30,2021-12-14,СЗ,241.372.000219,16.0,-137 days
235,2021-12-02,2022-11-03,2021-12-14,СЗ,241.372.000219,16.0,-324 days
247,2021-11-09,2022-02-16,2021-12-14,СЗ,169.372.000420,8.0,-64 days
248,2021-11-09,2022-02-16,2021-12-21,СЗ,169.372.000420,8.0,-57 days
292,2021-11-26,2022-01-02,2021-12-23,М,169.372.000420,2.0,-10 days
293,2019-11-11,2020-12-15,2020-01-30,СЗ,144.022.000662,3.0,-320 days
294,2019-11-11,2020-12-15,2020-11-13,СЗ,144.022.000662,3.0,-32 days
295,2019-11-11,2020-12-15,2020-01-30,СЗ,144.022.000663,4.0,-320 days
392,2020-12-17,2021-03-18,2021-02-05,СЗ,144.022.000663,1.0,-41 days
393,2020-12-17,2021-03-18,2021-02-05,СЗ,144.022.000663,1.0,-41 days
394,2020-12-17,2021-03-18,2021-02-18,СЗ,144.022.000663,1.0,-28 days
395,2020-12-17,2021-03-18,2021-02-18,СЗ,144.022.000663,1.0,-28 days
396,2020-12-17,2021-03-18,2021-06-08,СЗ,144.022.000663,1.0,82 days
