,Date_Fact,item_ID,Stock,Site,Cnt,Date_plan,SWAP,NS,difference
0,2020-09-01,144.022.000726,СЗ,78_03321,6.0,2021-08-04,0.0,1.0,-337
1,2020-09-01,144.022.000813,СЗ,78_03159,1.0,2021-06-27,0.0,1.0,-299
2,2020-09-01,248.020.000065,СЗ,78_03159,197.0,2021-06-27,0.0,1.0,-299
3,2020-09-01,132.346.000652,СЗ,78_03159,12.0,2021-06-27,0.0,1.0,-299
4,2020-09-01,144.022.000770,СЗ,78_03159,1.0,2021-06-27,0.0,1.0,-299
5,2020-09-01,277.346.000087,СЗ,78_03159,1.0,2021-06-27,0.0,1.0,-299
6,2020-09-01,238.346.000553,СЗ,78_03159,12.0,2021-06-27,0.0,1.0,-299
7,2020-09-01,261.348.000064,СЗ,78_03159,2.0,2021-06-27,0.0,1.0,-299
8,2020-09-01,238.346.000551,СЗ,78_03159,12.0,2021-06-27,0.0,1.0,-299
9,2020-09-01,144.022.000810,СЗ,78_03159,2.0,2021-06-27,0.0,1.0,-299
10,2021-04-27,149.123.000046,СЗ,78_03159,2.0,2021-06-27,0.0,1.0,-61
11,2020-09-01,243.022.000208,СЗ,78_03241,3.0,2021-11-15,0.0,1.0,-440
12,2020-09-01,238.022.000026,СЗ,78_03241,24.0,2021-11-15,0.0,1.0,-440
13,2021-03-12,238.022.000037,СЗ,78_03241,20.0,2021-11-15,0.0,1.0,-248
14,2021-03-12,144.022.000716,СЗ,78_03241,1.0,2021-11-15,0.0,1.0,-248
15,2021-03-12,144.022.000724,СЗ,78_03241,20.0,2021-11-15,0.0,1.0,-248
16,2021-03-12,144.022.000717,СЗ,78_03241,1.0,2021-11-15,0.0,1.0,-248
17,2021-03-12,238.022.000020,СЗ,78_03241,1.0,2021-11-15,0.0,1.0,-248
18,2020-09-01,238.022.000021,СЗ,78_06446,2.0,2021-05-13,0.0,1.0,-254
19,2020-09-01,248.346.000191,СЗ,78_06451,348.0,2021-04-15,0.0,1.0,-226
20,2020-09-01,248.346.000191,СЗ,78_06451,348.0,2021-05-15,0.0,1.0,-256
21,2021-08-11,144.022.000807,СЗ,78_06451,3.0,2021-04-15,0.0,1.0,118
22,2021-08-11,144.022.000807,СЗ,78_06451,3.0,2021-05-15,0.0,1.0,88
23,2021-08-11,248.346.000221,СЗ,78_06451,171.0,2021-04-15,0.0,1.0,118
24,2021-08-11,248.346.000221,СЗ,78_06451,171.0,2021-05-15,0.0,1.0,88
25,2021-08-11,144.022.000853,СЗ,78_06451,1.0,2021-04-15,0.0,1.0,118
26,2021-08-11,144.022.000853,СЗ,78_06451,1.0,2021-05-15,0.0,1.0,88
27,2021-08-11,238.346.000810,СЗ,78_06451,12.0,2021-04-15,0.0,1.0,118
28,2021-08-11,238.346.000810,СЗ,78_06451,12.0,2021-05-15,0.0,1.0,88
29,2021-08-11,132.346.000740,СЗ,78_06451,12.0,2021-04-15,0.0,1.0,118
30,2021-08-11,132.346.000740,СЗ,78_06451,12.0,2021-05-15,0.0,1.0,88
31,2021-08-11,261.348.000066,СЗ,78_06451,2.0,2021-04-15,0.0,1.0,118
32,2021-08-11,261.348.000066,СЗ,78_06451,2.0,2021-05-15,0.0,1.0,88
33,2021-08-11,132.346.000713,СЗ,78_06451,12.0,2021-04-15,0.0,1.0,118
34,2021-08-11,132.346.000713,СЗ,78_06451,12.0,2021-05-15,0.0,1.0,88
35,2020-09-01,249.346.000369,СЗ,78_02668,1.0,2021-07-09,0.0,1.0,-311
36,2020-09-02,244.022.000013,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-286
37,2020-09-02,244.022.000013,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-286
38,2020-09-02,244.022.000013,СЗ,78_03145,2.0,2021-12-07,0.0,1.0,-461
39,2020-09-02,216.346.001843,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
40,2020-09-02,216.346.001843,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
41,2020-09-02,216.346.001843,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
42,2020-09-02,144.022.000613,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
43,2020-09-02,144.022.000613,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
44,2020-09-02,144.022.000613,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
45,2020-09-02,144.022.000662,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
46,2020-09-02,144.022.000662,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
47,2020-09-02,144.022.000662,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
48,2020-09-02,144.022.000726,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-286
49,2020-09-02,144.022.000726,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-286
50,2020-09-02,144.022.000726,СЗ,78_03145,12.0,2021-12-07,0.0,1.0,-461
51,2020-09-02,144.022.000660,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
52,2020-09-02,144.022.000660,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
53,2020-09-02,144.022.000660,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
54,2020-09-02,243.022.000206,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
55,2020-09-02,243.022.000206,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
56,2020-09-02,243.022.000206,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
57,2020-09-02,244.022.000024,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-286
58,2020-09-02,244.022.000024,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-286
59,2020-09-02,244.022.000024,СЗ,78_03145,6.0,2021-12-07,0.0,1.0,-461
60,2020-09-02,144.022.000663,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
61,2020-09-02,144.022.000663,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
62,2020-09-02,144.022.000663,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
63,2020-09-02,144.022.000709,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
64,2020-09-02,144.022.000709,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
65,2020-09-02,144.022.000709,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
66,2020-09-02,216.346.001836,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
67,2020-09-02,216.346.001836,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
68,2020-09-02,216.346.001836,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
69,2020-09-02,248.346.000160,СЗ,78_03145,20.0,2021-06-15,0.0,1.0,-286
70,2020-09-02,248.346.000160,СЗ,78_03145,20.0,2021-06-15,0.0,1.0,-286
71,2020-09-02,248.346.000160,СЗ,78_03145,20.0,2021-12-07,0.0,1.0,-461
72,2020-09-02,216.346.001835,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-286
73,2020-09-02,216.346.001835,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-286
74,2020-09-02,216.346.001835,СЗ,78_03145,6.0,2021-12-07,0.0,1.0,-461
75,2020-09-02,144.022.000661,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
76,2020-09-02,144.022.000661,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
77,2020-09-02,144.022.000661,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
