,CreationDate,ExecDate,Date,Stock,item_ID,Cnt,difference
0,2021-12-03,2021-12-14,2021-12-27,У,213.346.000834,25000.0,13
1,2021-11-09,2022-02-16,2021-12-14,СЗ,249.346.000172,1.0,-64
2,2021-12-02,2022-11-03,2021-12-14,СЗ,249.346.000172,1.0,-324
3,2021-12-02,2022-11-03,2021-12-14,СЗ,249.346.000172,1.0,-324
4,2021-11-25,2022-05-30,2021-12-14,СЗ,249.346.000172,2.0,-167
5,2021-11-25,2022-05-30,2021-12-14,СЗ,249.346.000172,2.0,-167
6,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160
7,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160
8,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160
9,2021-11-25,2022-05-30,2021-12-21,СЗ,249.346.000172,2.0,-160
10,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57
11,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57
12,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57
13,2021-11-09,2022-02-16,2021-12-21,СЗ,185.252.000073,1.0,-57
14,2021-11-09,2022-02-16,2021-12-14,СЗ,241.372.000219,16.0,-64
15,2021-11-30,2022-04-30,2021-12-14,СЗ,241.372.000219,16.0,-137
16,2021-12-02,2022-11-03,2021-12-14,СЗ,241.372.000219,16.0,-324
17,2021-11-09,2022-02-16,2021-12-14,СЗ,169.372.000420,8.0,-64
18,2021-11-09,2022-02-16,2021-12-21,СЗ,169.372.000420,8.0,-57
19,2021-11-26,2022-01-02,2021-12-23,М,169.372.000420,2.0,-10
20,2019-11-11,2020-12-15,2020-01-30,СЗ,144.022.000662,3.0,-320
21,2019-11-11,2020-12-15,2020-11-13,СЗ,144.022.000662,3.0,-32
22,2019-11-11,2020-12-15,2020-01-30,СЗ,144.022.000663,4.0,-320
23,2020-12-17,2021-03-18,2021-02-05,СЗ,144.022.000663,1.0,-41
24,2020-12-17,2021-03-18,2021-02-05,СЗ,144.022.000663,1.0,-41
25,2020-12-17,2021-03-18,2021-02-18,СЗ,144.022.000663,1.0,-28
26,2020-12-17,2021-03-18,2021-02-18,СЗ,144.022.000663,1.0,-28
27,2020-12-17,2021-03-18,2021-06-08,СЗ,144.022.000663,1.0,82
28,2020-12-17,2021-03-18,2021-06-08,СЗ,144.022.000663,1.0,82
29,2020-12-17,2021-03-18,2021-06-15,СЗ,144.022.000663,1.0,89
30,2020-12-17,2021-03-18,2021-06-15,СЗ,144.022.000663,1.0,89
31,2020-12-17,2021-03-18,2021-06-21,СЗ,144.022.000663,1.0,95
32,2020-12-17,2021-03-18,2021-06-21,СЗ,144.022.000663,1.0,95
33,2020-12-17,2021-03-18,2021-06-21,СЗ,144.022.000663,1.0,95
34,2020-12-17,2021-03-18,2021-06-21,СЗ,144.022.000663,1.0,95
35,2020-12-17,2021-03-18,2021-06-25,СЗ,144.022.000663,1.0,99
36,2020-12-17,2021-03-18,2021-06-25,СЗ,144.022.000663,1.0,99
37,2020-12-17,2021-03-18,2021-06-29,СЗ,144.022.000663,1.0,103
38,2020-12-17,2021-03-18,2021-06-29,СЗ,144.022.000663,1.0,103
39,2020-12-17,2021-03-18,2021-06-30,СЗ,144.022.000663,1.0,104
40,2020-12-17,2021-03-18,2021-06-30,СЗ,144.022.000663,1.0,104
41,2020-12-17,2021-03-18,2021-06-30,СЗ,144.022.000663,1.0,104
42,2020-12-17,2021-03-18,2021-06-30,СЗ,144.022.000663,1.0,104
43,2020-12-17,2021-03-18,2021-09-21,СЗ,144.022.000663,1.0,187
44,2020-12-17,2021-03-18,2021-09-21,СЗ,144.022.000663,1.0,187
